start,end,text
10.30,12.79,Regier das Biz wie ein Illuminat
12.95,15.33,Bin in jedem Staat sowie im Emirat
15.52,18.45,Bin ich fat most valuable Thronkandidat
18.74,21.12,Hip Hop's best Limited Edition
21.39,23.49,Im Lexikon unter Champion
23.78,26.15,Erhaltet von mir die Originalversion
26.44,28.36,Von Streetrap in Germany
28.57,31.03,Wir geben alles für die Company
31.24,33.45,Folgt mir auffällig zum Hauptmenü
33.72,36.77,Bin euer Lieblingsbaby in jeder City
37.09,39.68,Vorbei in der Lounge an jeder Security
39.90,42.39,Hab mit Abstand die coolste Identity
42.61,45.01,Halte mein Gleichgewicht im Ying und Yang
45.26,48.82,Hab einen inneren Drang für den perfekten Klang
49.10,51.19,Vom Aussehen her bin ich Blickfang
51.46,53.73,Von hier in alle Straßen entlang
52.92,55.61,In den Straßen leuchten die Sterne klar
55.86,58.34,So unerreichbar und doch so nah
58.61,60.95,Lichter scheinen auf das Panorama
61.11,63.59,Auf jeden Block bis zum Himalaya
63.93,66.40,G-Rap Syndikat kämpfen Chica
66.40,69.16,In der Dunkelheit allein auf der Straße
69.34,71.60,"Chillen in der Bar, in der Shishabar"
71.94,75.30,Kommen uns vor wie ein Hollywoodstar
74.35,76.92,Mein Label kommt voll powerful
76.92,79.64,Regiere die Szene wie ein Großmogul
79.64,82.90,Mein Sound kommt cool von hier bis nach Istanbul
82.90,85.13,Hab Coolnessfaktor hoch zehn
85.23,87.57,Kreier 'nen neuen Straßenervergreen
87.90,90.43,Mach euch zur Gefolgschaft wie ein Azzaleen
90.60,92.99,Lehn dich zurück und schalt YouTube an
93.16,95.78,"Drück auf ""play"" auf deinem Touchscreen"
96.05,98.73,Der Textinhalt dient zum Machterhalt
98.94,102.11,Bin eiskalt wie der Schnee auf der Champs-Élysées
102.34,105.54,In roten Ferraris über die Autobahn nach Paris
105.71,108.14,Versteck ein Sechseck Koka im Gepäck
108.39,111.28,Fahren 323 über den Bordercheck
111.61,113.79,Gebt mir alle mal den meisten Respekt
113.98,117.57,"Für meine ganzen Aktionen, ernte ich Millionen"
116.92,119.63,In den Straßen leuchten die Sterne klar
119.82,122.38,So unerreichbar und doch so nah
122.60,124.92,Lichter scheinen auf das Panorama
125.16,127.59,Auf jeden Block bis zum Himalaya
127.91,130.38,G-Rap Syndikat kämpfen Chica
130.38,133.20,In der Dunkelheit allein auf der Straße
133.29,135.71,"Chillen in der Bar, in der Shishabar"
135.92,139.22,Kommen uns vor wie ein Hollywoodstar
138.49,141.18,Shaney 23 C-Rap Unikat
141.28,142.89,"Du denkst dir, nur ihr seid hart?"
142.89,144.88,"Aber ich schwör dir, was ich tat"
144.96,146.38,Tat keiner zuvor mir
146.50,149.30,Ich stech aus der Masse hinaus wie ein Clubhaus
149.60,152.54,"Neon Lights Effects, Bitches ziehen sich für mich aus"
152.75,155.26,Illuminato Style weil's endgeil line
155.50,157.22,Ich bündel doppelt soviel Scheine
157.42,160.00,Bau ein Textteil in Realtime in die Box
160.25,162.87,Mir egal ob mit Explorer oder Firefox
163.09,165.89,Dieser Sound aus FFM kommt aus jeder Box
165.98,168.07,Das ist wie Gridlock auf Woodstock
168.39,170.61,CK shocked den Block wie Punkrock
170.92,173.65,Chicks geben Ficks für die heißeste G-Rapperin
173.94,176.44,Die auch schon ein paar Pariserinnen flach lag
176.72,178.93,Und danach mit dreifach Rhymes zuschlag
179.16,181.71,Ich fick hardcore von Montag bis Sonntag
180.84,183.60,In den Straßen leuchten die Sterne klar
183.84,186.36,So unerreichbar und doch so nah
186.60,188.96,Lichter scheinen auf das Panorama
189.17,191.79,Auf jeden Block bis zum Himalaya
191.98,194.35,G-Rap Syndikat kämpfen Chica
194.35,197.25,In der Dunkelheit allein auf der Straße
197.37,199.51,"Chillen in der Bar, in der Shishabar"
199.92,203.48,Kommen uns vor wie ein Hollywoodstar
