start,end,text
19.68,22.00,"Salut mon grand, comment ça va ?"
22.39,24.31,Ça faisait longtemps que j't'avais pas
24.31,27.67,"Envoyé une petite lettre, c'est pas évident"
28.87,31.11,"Tu sais, j'ai beau leur demander"
31.60,33.45,Ils font la gueule au PTT
33.45,36.83,Le code postal du Paradis n'est pas courant
37.97,42.47,Mais je me dis que maintenant que les capotes sont à un franc
42.47,45.91,J'vais en gonfler dix à l'hélium pour accrocher
47.12,51.69,"La lettre que j'écris à l'instant, qui s'en ira au gré du vent"
51.69,55.06,Il ne te restera plus qu'à la rattraper
92.82,97.42,"Tu sais, t'aurais pas du crever, la vie n'était pas terminée"
97.42,100.86,"Hier encore, y avait des vagues et puis du vent"
102.03,106.58,"On aurait pu aller surfer, mais t'as préféré te casser"
106.58,109.95,"Dans le jardin d'Éden, dans le jardin du temps"
111.16,115.69,Mais tu te dis que maintenant que les capotes sont à un franc
115.69,119.13,"Ton cœur battrait plus fort, quand arrive l'été"
120.27,124.87,"Tu sentirais encore le vent, les grains de sable et puis le temps"
124.87,128.10,"Couler entre tes doigts, et glisser sous tes pieds"
129.43,134.00,"OK, je sais bien qu'elle était super bandante à en crever"
134.00,137.46,"Elle t'a entraîné dans son lit, tu pouvais pas refuser"
138.57,143.06,"Tu n'avais que deux francs sur toi, et t'as pensé, « 'tention, SIDA »"
143.16,146.54,Mais qu'une fille belle comme ça était immunisée
165.94,170.47,Et tu te dis que maintenant que les capotes sont à un franc
170.54,174.27,Tu serais encore là et tu raconterais
175.14,179.73,Que t'avais fait l'amour deux fois sans penser qu'avec cette fille là
179.73,183.35,L'amour et la mort étaient à jamais liés
