start,end,text
13.14,14.51,Maybe you hate me
15.80,18.92,But you dress somebody's suit
19.18,21.11,Because there's no risk
22.22,23.42,To put on a mask
25.47,31.03,When we get scared to live
32.02,38.39,"With our back, with our back"
39.08,40.50,Maybe you love me
41.73,45.02,But you run under the sun and me under the rain
45.02,47.56,It's so easy
48.17,50.35,To lose ourselves
51.42,57.75,"When we get scared to love ( <nl> ooh, ooh </nl> )"
57.97,63.79,"With every tear, with every fear"
64.36,67.25,But you could give me just your money
67.68,70.69,But I wished just your honey
70.71,73.74,"Burnt your t-shirt, that one with bunny"
74.12,78.66,And now about you nothing more of funny
84.51,86.47,Maybe we'll meet again
87.10,90.45,But this not the right life for us
90.45,93.05,It's so hard
93.62,95.14,To live our love
96.83,103.15,"When we get scared to see ( <nl> ooh, ooh </nl> )"
103.40,109.16,"Inside our soul, inside our soul"
109.84,112.82,But you could give me just your money
113.15,116.00,But I wished just your honey
116.13,119.36,"Burnt your t-shirt, that one with bunny"
119.58,123.26,And now about you nothing more of funny
123.26,126.06,Your mind is closed like an aquarium
126.06,129.52,Mine completely opened like the Colosseum
129.59,135.78,So nothing about idyll between us
135.79,138.11,It's not a wrong accent
138.15,141.13,"No, no, no, no, no, no, no, no"
141.46,145.14,What's wrong is the concept
145.50,148.69,Wrong concept to love
148.69,151.84,But you could give me just your money
152.03,154.95,But I wished just your honey
155.08,158.27,"Burnt your t-shirt, that one with bunny"
158.50,162.01,And now about you nothing more of funny
162.01,164.59,You could give me just your money
165.02,167.80,But I wished just your honey
167.95,171.31,"Burnt your t-shirt, that one with bunny"
171.44,177.79,And now about you nothing more of funny
178.01,179.66,Wrong concept
181.21,183.88,Wrong concept to love
184.47,192.83,Wrong concept
194.14,195.17,To love
195.75,196.74,To love
197.46,200.02,Wrong concept
