start,end,text
47.68,51.50,"Etiqueto, agrego, me hago fan, cambio mi nick"
52.17,57.00,"Lo publico en mi muro, lo comparto con un tweet"
58.65,62.51,"Subo fotos moñas, actualizo mi perfil"
63.10,66.71,Recolecto y me suscribo a tu feed
69.63,74.78,"Tengo cuatro mil amigos, soy un tío súper popular"
75.12,79.55,A pesar de que a ninguno he visto jamás
80.49,85.82,"Si echo en falta compañía, va siendo hora de activar el chat"
86.07,89.44,"Todo es falso, pero me da igual"
156.29,158.80,"Sí, sí, es tu vida una patraña"
159.43,162.14,"Sin hazañas, que te engaña, es una puta castaña"
162.14,164.93,Existencia ermitaña que te nubla y te empaña
164.93,167.53,"Todo juicio y razón, te lo digo sin rencor"
167.67,170.41,Pero te falta un hervor y poco a poco estás cayendo
170.41,173.86,"En el hoyo de la enajenación, por favor"
174.84,177.27,Sal de tu letargo y hazte cargo de que el mundo
177.27,179.23,No se encierra tras tu pobre monitor
182.09,185.96,"Hoy salí a la calle, todo es nuevo para mí"
186.51,191.38,Llevaba más de tres años metido en mi cuchitril
193.07,196.93,"Me he sentido solo, sin saber a dónde ir"
197.47,201.12,Ahora entiendo por qué dicen que soy un freak
204.01,209.26,"Tengo cuatro mil amigos, soy un tío súper popular"
209.49,213.98,A pesar de que a ninguno he visto jamás
214.88,220.24,"Si echo en falta compañía, va siendo hora de activar el chat"
220.48,224.06,"Todo es falso, pero me da igual"
